rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period
3771,8487805,K04206.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.530959357
3772,9456281,K04207.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.701944362
3773,5129453,K04208.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,3.05772668
3774,7918478,K04209.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,9.9092109
3775,3336845,K04275.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.996864568
3776,3645282,K07661.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.673684895
3777,6026924,K04276.01,Kepler-1580 b,CONFIRMED,CANDIDATE,0.979,0,0,0,0,56.644452
3778,6525280,K04277.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.710319812
3779,4861784,K04278.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,5.62978034
3780,5876360,K04279.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.050852976
3781,9509343,K04346.01,,CANDIDATE,CANDIDATE,0.95,0,0,0,0,6.39269778
3782,3732972,K07664.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.540398683
3783,3244792,K04347.01,Kepler-1592 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.0570982
3784,8743082,K04348.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,365.25921
3785,7673841,K02585.03,,CANDIDATE,CANDIDATE,0.953,0,0,0,0,7.87845756
3786,9142742,K04349.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,372.72688
3787,6891513,K04413.01,,FALSE POSITIVE,FALSE POSITIVE,0.002,0,0,1,0,9.9398272
3788,4579598,K04414.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1,0.866346
3789,7777522,K04415.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.885129679
3790,9305012,K04416.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,56.898749
3791,9597729,K04417.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0,0.438153876
3792,11390109,K04210.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,398.40957
3793,5078025,K04211.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,0.696286519
3794,1724719,K04212.01,Kepler-1569 b,CONFIRMED,CANDIDATE,0.956,0,0,0,0,5.79179934
